example_index,task_id,op_type,condition,website,confirmed_task
164,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
165,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
166,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
167,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
168,135d86d4-f44d-4164-8b42-a128727f6e7e,CLICK,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
169,135d86d4-f44d-4164-8b42-a128727f6e7e,CLICK,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
170,135d86d4-f44d-4164-8b42-a128727f6e7e,SELECT,Outcome-Aware,cars,"Find a used cheapest 8 cylinder bmw  made between 2005-2015 and priced from 25,000 to  50,000 dollar with mileage less then 50,000 miles or less."
171,4a023ef6-99d8-41b3-a0c1-2337f17eef1e,CLICK,Outcome-Aware,tripadvisor,Open the page to create a review for Hotel Xcaret Mexico.
172,4a023ef6-99d8-41b3-a0c1-2337f17eef1e,TYPE,Outcome-Aware,tripadvisor,Open the page to create a review for Hotel Xcaret Mexico.
173,4a023ef6-99d8-41b3-a0c1-2337f17eef1e,CLICK,Outcome-Aware,tripadvisor,Open the page to create a review for Hotel Xcaret Mexico.
174,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
175,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
176,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
177,5cf2503b-9026-423a-882c-d19018f86fb2,TYPE,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
178,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
179,5cf2503b-9026-423a-882c-d19018f86fb2,TYPE,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
180,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
181,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
182,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
183,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
184,5cf2503b-9026-423a-882c-d19018f86fb2,CLICK,Outcome-Aware,tripadvisor,"Find cheapest flight from Toronto, Canada to New York City, USA for 1 adult."
185,634c62b6-b86e-4537-86ff-211ee85f7090,CLICK,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
186,634c62b6-b86e-4537-86ff-211ee85f7090,TYPE,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
187,634c62b6-b86e-4537-86ff-211ee85f7090,CLICK,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
188,634c62b6-b86e-4537-86ff-211ee85f7090,CLICK,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
189,634c62b6-b86e-4537-86ff-211ee85f7090,CLICK,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
190,634c62b6-b86e-4537-86ff-211ee85f7090,CLICK,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
191,634c62b6-b86e-4537-86ff-211ee85f7090,CLICK,Outcome-Aware,tripadvisor,Reserve a table at highly rated restaurant in Paris for 2.
192,d7f01fd5-afd7-407d-8d62-e0b201b8c197,TYPE,Outcome-Aware,bestbuy,Browse 8K Samsung TVs that are open box.
193,d7f01fd5-afd7-407d-8d62-e0b201b8c197,CLICK,Outcome-Aware,bestbuy,Browse 8K Samsung TVs that are open box.
194,d7f01fd5-afd7-407d-8d62-e0b201b8c197,CLICK,Outcome-Aware,bestbuy,Browse 8K Samsung TVs that are open box.
195,d7f01fd5-afd7-407d-8d62-e0b201b8c197,CLICK,Outcome-Aware,bestbuy,Browse 8K Samsung TVs that are open box.
196,f36b49c8-7e36-4d48-b736-518d5a617a8f,CLICK,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
197,f36b49c8-7e36-4d48-b736-518d5a617a8f,CLICK,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
198,f36b49c8-7e36-4d48-b736-518d5a617a8f,CLICK,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
199,f36b49c8-7e36-4d48-b736-518d5a617a8f,CLICK,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
200,f36b49c8-7e36-4d48-b736-518d5a617a8f,CLICK,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
201,f36b49c8-7e36-4d48-b736-518d5a617a8f,CLICK,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
202,f36b49c8-7e36-4d48-b736-518d5a617a8f,SELECT,Outcome-Aware,bestbuy,Buy the highest-rated physical birthday gift card of 50 dollars and add 2 gift cards to the cart.
203,f5b9e5b9-1992-4444-b389-680912e50fe6,CLICK,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
204,f5b9e5b9-1992-4444-b389-680912e50fe6,TYPE,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
205,f5b9e5b9-1992-4444-b389-680912e50fe6,CLICK,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
206,f5b9e5b9-1992-4444-b389-680912e50fe6,SELECT,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
207,f5b9e5b9-1992-4444-b389-680912e50fe6,TYPE,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
208,f5b9e5b9-1992-4444-b389-680912e50fe6,CLICK,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
209,f5b9e5b9-1992-4444-b389-680912e50fe6,CLICK,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
210,f5b9e5b9-1992-4444-b389-680912e50fe6,CLICK,Outcome-Aware,bestbuy,apply for a retail sales associate jobs within 5 miles to 20001
211,da77f831-4173-4342-b784-75989c50046d,CLICK,Outcome-Aware,tripadvisor,"Find a list of restaurants in Big Sur, CA with outdoor seating"
212,da77f831-4173-4342-b784-75989c50046d,TYPE,Outcome-Aware,tripadvisor,"Find a list of restaurants in Big Sur, CA with outdoor seating"
213,da77f831-4173-4342-b784-75989c50046d,CLICK,Outcome-Aware,tripadvisor,"Find a list of restaurants in Big Sur, CA with outdoor seating"
214,da77f831-4173-4342-b784-75989c50046d,CLICK,Outcome-Aware,tripadvisor,"Find a list of restaurants in Big Sur, CA with outdoor seating"
215,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
216,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
217,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
218,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
219,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
220,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
221,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
222,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
223,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
224,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
225,b904b13e-6c35-4506-a4be-2586f7d9930b,CLICK,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
226,b904b13e-6c35-4506-a4be-2586f7d9930b,SELECT,Outcome-Aware,cars,Find a cheapest hatchback car listing in Madison which has red interiors with heated seat option and premium sound system.
227,f75f526f-dff7-4164-bb90-e9a84327bb2e,CLICK,Outcome-Aware,macys,find marriage registry with name JANE DOE
228,f75f526f-dff7-4164-bb90-e9a84327bb2e,TYPE,Outcome-Aware,macys,find marriage registry with name JANE DOE
229,f75f526f-dff7-4164-bb90-e9a84327bb2e,CLICK,Outcome-Aware,macys,find marriage registry with name JANE DOE
230,ca2d4bc8-f6c3-4e70-bff8-181ea54d9485,CLICK,Outcome-Aware,nba,Find the current league leader in total blocked shots.
231,ca2d4bc8-f6c3-4e70-bff8-181ea54d9485,CLICK,Outcome-Aware,nba,Find the current league leader in total blocked shots.
232,ca2d4bc8-f6c3-4e70-bff8-181ea54d9485,SELECT,Outcome-Aware,nba,Find the current league leader in total blocked shots.
233,ca2d4bc8-f6c3-4e70-bff8-181ea54d9485,SELECT,Outcome-Aware,nba,Find the current league leader in total blocked shots.
234,ca2d4bc8-f6c3-4e70-bff8-181ea54d9485,CLICK,Outcome-Aware,nba,Find the current league leader in total blocked shots.
235,d457bbda-b234-4829-bf41-45ba8a8111f5,CLICK,Outcome-Aware,nba,Open the league pass schedule for the Boston Celtics.
236,d457bbda-b234-4829-bf41-45ba8a8111f5,CLICK,Outcome-Aware,nba,Open the league pass schedule for the Boston Celtics.
237,d457bbda-b234-4829-bf41-45ba8a8111f5,SELECT,Outcome-Aware,nba,Open the league pass schedule for the Boston Celtics.
238,51c2f319-65b5-4115-948c-453ac3e28382,TYPE,Outcome-Aware,shopping.google,Look for price comparisons of Pokemon Go - Elite Trainer Box
239,51c2f319-65b5-4115-948c-453ac3e28382,CLICK,Outcome-Aware,shopping.google,Look for price comparisons of Pokemon Go - Elite Trainer Box
240,51c2f319-65b5-4115-948c-453ac3e28382,CLICK,Outcome-Aware,shopping.google,Look for price comparisons of Pokemon Go - Elite Trainer Box
241,51c2f319-65b5-4115-948c-453ac3e28382,CLICK,Outcome-Aware,shopping.google,Look for price comparisons of Pokemon Go - Elite Trainer Box
242,09ef065e-4b1a-431e-84f2-bd7768c0d004,CLICK,Outcome-Aware,shopping.google,Search for running shoes for men and filter the results to show only those that are available in size 11.
243,09ef065e-4b1a-431e-84f2-bd7768c0d004,TYPE,Outcome-Aware,shopping.google,Search for running shoes for men and filter the results to show only those that are available in size 11.
244,09ef065e-4b1a-431e-84f2-bd7768c0d004,CLICK,Outcome-Aware,shopping.google,Search for running shoes for men and filter the results to show only those that are available in size 11.
245,09ef065e-4b1a-431e-84f2-bd7768c0d004,CLICK,Outcome-Aware,shopping.google,Search for running shoes for men and filter the results to show only those that are available in size 11.
246,1f91de2a-5508-43e5-bced-ef6812f84614,CLICK,Outcome-Aware,shopping.google,Search for smart TVs with a screen size of 55 to 65 inches and filter the results to show only those that have a LED display.
247,1f91de2a-5508-43e5-bced-ef6812f84614,TYPE,Outcome-Aware,shopping.google,Search for smart TVs with a screen size of 55 to 65 inches and filter the results to show only those that have a LED display.
248,1f91de2a-5508-43e5-bced-ef6812f84614,CLICK,Outcome-Aware,shopping.google,Search for smart TVs with a screen size of 55 to 65 inches and filter the results to show only those that have a LED display.
249,1f91de2a-5508-43e5-bced-ef6812f84614,CLICK,Outcome-Aware,shopping.google,Search for smart TVs with a screen size of 55 to 65 inches and filter the results to show only those that have a LED display.
250,1f91de2a-5508-43e5-bced-ef6812f84614,CLICK,Outcome-Aware,shopping.google,Search for smart TVs with a screen size of 55 to 65 inches and filter the results to show only those that have a LED display.
251,d9e70643-0b1b-42c6-8edc-9c543a8170e8,CLICK,Outcome-Aware,stubhub,Find out how to transfer NFL tickets to a friend.
252,d9e70643-0b1b-42c6-8edc-9c543a8170e8,CLICK,Outcome-Aware,stubhub,Find out how to transfer NFL tickets to a friend.
253,d9e70643-0b1b-42c6-8edc-9c543a8170e8,CLICK,Outcome-Aware,stubhub,Find out how to transfer NFL tickets to a friend.
254,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,TYPE,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
255,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
256,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
257,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,TYPE,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
258,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
259,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
260,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
261,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
262,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
263,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
264,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
265,dd3ef13f-89f8-45a5-a007-aeea30acfe7b,CLICK,Outcome-Aware,stubhub,"Book 4 tickets in upper  for any Kevin Hart show in Brisbane, Australia, before 30 March, view tickes prices with estimated fees."
266,e27fee2b-0320-4bb7-b680-7dd7c4c9f2ea,TYPE,Outcome-Aware,stubhub,"Browse BlackPink tickets in Mexico on Apr 26, show prices with fees."
267,e27fee2b-0320-4bb7-b680-7dd7c4c9f2ea,CLICK,Outcome-Aware,stubhub,"Browse BlackPink tickets in Mexico on Apr 26, show prices with fees."
268,e27fee2b-0320-4bb7-b680-7dd7c4c9f2ea,CLICK,Outcome-Aware,stubhub,"Browse BlackPink tickets in Mexico on Apr 26, show prices with fees."
269,e27fee2b-0320-4bb7-b680-7dd7c4c9f2ea,CLICK,Outcome-Aware,stubhub,"Browse BlackPink tickets in Mexico on Apr 26, show prices with fees."
270,e27fee2b-0320-4bb7-b680-7dd7c4c9f2ea,CLICK,Outcome-Aware,stubhub,"Browse BlackPink tickets in Mexico on Apr 26, show prices with fees."
271,e27fee2b-0320-4bb7-b680-7dd7c4c9f2ea,CLICK,Outcome-Aware,stubhub,"Browse BlackPink tickets in Mexico on Apr 26, show prices with fees."
272,86f52e05-c352-4bab-a101-df2ddf566b57,CLICK,Outcome-Aware,tiktok.music,Use a tense music from BCD Studio in tik tok video editor
273,86f52e05-c352-4bab-a101-df2ddf566b57,CLICK,Outcome-Aware,tiktok.music,Use a tense music from BCD Studio in tik tok video editor
274,86f52e05-c352-4bab-a101-df2ddf566b57,CLICK,Outcome-Aware,tiktok.music,Use a tense music from BCD Studio in tik tok video editor
275,86f52e05-c352-4bab-a101-df2ddf566b57,TYPE,Outcome-Aware,tiktok.music,Use a tense music from BCD Studio in tik tok video editor
276,86f52e05-c352-4bab-a101-df2ddf566b57,CLICK,Outcome-Aware,tiktok.music,Use a tense music from BCD Studio in tik tok video editor
277,86f52e05-c352-4bab-a101-df2ddf566b57,CLICK,Outcome-Aware,tiktok.music,Use a tense music from BCD Studio in tik tok video editor
278,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
279,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
280,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
281,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
282,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
283,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
284,88b53da2-6476-4cef-9946-ce2904187f43,TYPE,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
285,88b53da2-6476-4cef-9946-ce2904187f43,CLICK,Outcome-Aware,tiktok.music,Find the chill musics for tik tok commercial use in belgium from the artist TimTaj
286,c7f8145b-89cf-4711-bc1c-5491cf463eb2,CLICK,Outcome-Aware,nba,Find Atlanta Hawks game tickets.
287,c7f8145b-89cf-4711-bc1c-5491cf463eb2,CLICK,Outcome-Aware,nba,Find Atlanta Hawks game tickets.
288,c7f8145b-89cf-4711-bc1c-5491cf463eb2,SELECT,Outcome-Aware,nba,Find Atlanta Hawks game tickets.
289,c7f8145b-89cf-4711-bc1c-5491cf463eb2,CLICK,Outcome-Aware,nba,Find Atlanta Hawks game tickets.
290,502a9d95-af93-4f9c-a017-7dcd36c64a5d,TYPE,Outcome-Aware,recreation.gov,Find the next available date for Albion Basin.
291,502a9d95-af93-4f9c-a017-7dcd36c64a5d,CLICK,Outcome-Aware,recreation.gov,Find the next available date for Albion Basin.
292,502a9d95-af93-4f9c-a017-7dcd36c64a5d,CLICK,Outcome-Aware,recreation.gov,Find the next available date for Albion Basin.
293,63be6edd-ebf5-446f-a61e-7b9990c850ae,TYPE,Outcome-Aware,recreation.gov,Find parks In Arizona.
294,63be6edd-ebf5-446f-a61e-7b9990c850ae,CLICK,Outcome-Aware,recreation.gov,Find parks In Arizona.
295,63be6edd-ebf5-446f-a61e-7b9990c850ae,CLICK,Outcome-Aware,recreation.gov,Find parks In Arizona.
296,63be6edd-ebf5-446f-a61e-7b9990c850ae,CLICK,Outcome-Aware,recreation.gov,Find parks In Arizona.
297,63be6edd-ebf5-446f-a61e-7b9990c850ae,CLICK,Outcome-Aware,recreation.gov,Find parks In Arizona.
298,79f72a57-2967-44b5-b0cd-2501ef64769b,CLICK,Outcome-Aware,recreation.gov,Check permit availability for Bryce Canyon National Park.
299,79f72a57-2967-44b5-b0cd-2501ef64769b,CLICK,Outcome-Aware,recreation.gov,Check permit availability for Bryce Canyon National Park.
300,79f72a57-2967-44b5-b0cd-2501ef64769b,TYPE,Outcome-Aware,recreation.gov,Check permit availability for Bryce Canyon National Park.
301,79f72a57-2967-44b5-b0cd-2501ef64769b,CLICK,Outcome-Aware,recreation.gov,Check permit availability for Bryce Canyon National Park.
302,79f72a57-2967-44b5-b0cd-2501ef64769b,CLICK,Outcome-Aware,recreation.gov,Check permit availability for Bryce Canyon National Park.
303,81c87171-97f5-485d-8014-7723b3f98617,TYPE,Outcome-Aware,recreation.gov,Find the next available dates for Alley Creek Camp.
304,81c87171-97f5-485d-8014-7723b3f98617,CLICK,Outcome-Aware,recreation.gov,Find the next available dates for Alley Creek Camp.
305,81c87171-97f5-485d-8014-7723b3f98617,CLICK,Outcome-Aware,recreation.gov,Find the next available dates for Alley Creek Camp.
306,10b87002-bd01-4874-9d1f-f9f56ba07644,CLICK,Outcome-Aware,tiktok.music,Open list of creators with more than 10M followers.
307,10b87002-bd01-4874-9d1f-f9f56ba07644,CLICK,Outcome-Aware,tiktok.music,Open list of creators with more than 10M followers.
308,10b87002-bd01-4874-9d1f-f9f56ba07644,CLICK,Outcome-Aware,tiktok.music,Open list of creators with more than 10M followers.
309,10b87002-bd01-4874-9d1f-f9f56ba07644,CLICK,Outcome-Aware,tiktok.music,Open list of creators with more than 10M followers.
310,1525b41a-48fa-45ce-a84e-957a71b30c68,CLICK,Outcome-Aware,tiktok.music,Get keyword insights related to games.
311,1525b41a-48fa-45ce-a84e-957a71b30c68,CLICK,Outcome-Aware,tiktok.music,Get keyword insights related to games.
312,1525b41a-48fa-45ce-a84e-957a71b30c68,TYPE,Outcome-Aware,tiktok.music,Get keyword insights related to games.
313,1525b41a-48fa-45ce-a84e-957a71b30c68,CLICK,Outcome-Aware,tiktok.music,Get keyword insights related to games.
314,188005ee-65e0-4b72-b960-e02a21ac1e18,CLICK,Outcome-Aware,tiktok.music,What creators are trending now on australia that have brazil as the audience region
315,188005ee-65e0-4b72-b960-e02a21ac1e18,CLICK,Outcome-Aware,tiktok.music,What creators are trending now on australia that have brazil as the audience region
316,188005ee-65e0-4b72-b960-e02a21ac1e18,CLICK,Outcome-Aware,tiktok.music,What creators are trending now on australia that have brazil as the audience region
317,188005ee-65e0-4b72-b960-e02a21ac1e18,CLICK,Outcome-Aware,tiktok.music,What creators are trending now on australia that have brazil as the audience region
318,188005ee-65e0-4b72-b960-e02a21ac1e18,CLICK,Outcome-Aware,tiktok.music,What creators are trending now on australia that have brazil as the audience region
319,188005ee-65e0-4b72-b960-e02a21ac1e18,CLICK,Outcome-Aware,tiktok.music,What creators are trending now on australia that have brazil as the audience region
320,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
321,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
322,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
323,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
324,27ada901-d3db-43a6-b53c-c8ad05e80c26,TYPE,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
325,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
326,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
327,27ada901-d3db-43a6-b53c-c8ad05e80c26,CLICK,Outcome-Aware,tiktok.music,"Play a rock music from the artist zukisuzuki that can be used for tik tok series and usable  in helo, topbuzz."
328,35aae722-cc8e-43ba-a22f-97cd453c3493,CLICK,Outcome-Aware,tiktok.music,Browse list of tiktok series songs longer than 60 seconds.
329,35aae722-cc8e-43ba-a22f-97cd453c3493,CLICK,Outcome-Aware,tiktok.music,Browse list of tiktok series songs longer than 60 seconds.
330,375bd12d-d44b-4453-b6e3-c0f1889ceb82,CLICK,Outcome-Aware,tiktok.music,Show me the tik tok series playlist from brazil
331,375bd12d-d44b-4453-b6e3-c0f1889ceb82,CLICK,Outcome-Aware,tiktok.music,Show me the tik tok series playlist from brazil
332,375bd12d-d44b-4453-b6e3-c0f1889ceb82,CLICK,Outcome-Aware,tiktok.music,Show me the tik tok series playlist from brazil
333,375bd12d-d44b-4453-b6e3-c0f1889ceb82,CLICK,Outcome-Aware,tiktok.music,Show me the tik tok series playlist from brazil
334,375bd12d-d44b-4453-b6e3-c0f1889ceb82,CLICK,Outcome-Aware,tiktok.music,Show me the tik tok series playlist from brazil
335,8e1f66f2-7840-4cb2-ba22-102f6bfde245,CLICK,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
336,8e1f66f2-7840-4cb2-ba22-102f6bfde245,CLICK,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
337,8e1f66f2-7840-4cb2-ba22-102f6bfde245,TYPE,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
338,8e1f66f2-7840-4cb2-ba22-102f6bfde245,CLICK,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
339,8e1f66f2-7840-4cb2-ba22-102f6bfde245,CLICK,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
340,8e1f66f2-7840-4cb2-ba22-102f6bfde245,CLICK,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
341,8e1f66f2-7840-4cb2-ba22-102f6bfde245,CLICK,Outcome-Aware,bestbuy,Find a store near zip 30010 that provides authorized apple services for imacs and  make this one  my store.
